Insee,Nom,Altitude,code_postal,longitude_radian,latitude_radian,pop99,surface
1034,Belley,290,1300,0.099294696,0.798648122,8004,22.63
1035,Belleydoux,850,1130,0.100787914,0.807263249,277,17.93
1036,Belmont-Luthézieu,429,1260,0.098824415,0.800781314,394,19.69
1037,Bénonces,488,1470,0.095547071,0.799850473,243,15.35
1038,Bény,230,1370,0.092197014,0.808446225,613,18.31
1039,Béon,241,1350,0.100429161,0.800340095,364,10.22
1040,Béréziat,210,1340,0.088027619,0.809284921,340,11.31
1041,Bettant,260,1500,0.09365145,0.80184791,683,3.47
1042,Bey,210,1290,0.084585442,0.806540866,221,2.8
1043,Beynost,190,1700,0.087256759,0.800058932,3530,10.78
1044,Billiat,551,1200,0.100928512,0.804213796,411,14.02
1045,Birieux,285,1330,0.087979133,0.802036995,145,15.8
1046,Biziat,210,1290,0.086282291,0.806637872,641,11.66
1047,Blyes,210,1150,0.091624934,0.800175312,692,9.29
1049,La Boisse,205,1120,0.08781916,0.800092887,2709,9.38
1050,Boissey,200,01190|01380,0.08716949,0.8095031,202,9.38
1051,Bolozon,310,1450,0.095547071,0.806235468,94,5.01
1052,Bouligneux,283,1330,0.087096778,0.803278094,290,26.22
1053,Bourg-en-Bresse,230,1000,0.091217695,0.806434207,40666,24.09
1054,Bourg-Saint-Christophe,250,1800,0.090092917,0.800965538,824,8.92
1056,Boyeux-Saint-Jérôme,540,1640,0.095207709,0.803399268,277,16.7
1057,Boz,184,1190,0.085690812,0.809958834,359,7.62
1058,Brégnier-Cordon,226,1300,0.098092354,0.79674283,566,11.64
1059,Brénaz,700,1260,0.099881316,0.801935129,105,9.91
1060,Brénod,840,1110,0.097845096,0.803922912,427,24.03
1061,Brens,253,1300,0.099406208,0.798003304,731,6.86
1062,Bressolles,280,1360,0.089006938,0.800611604,590,7.71
1063,Brion,480,1460,0.096894872,0.80587188,559,4.5
1064,Briord,205,1470,0.095309517,0.7990699,675,12.4
1065,Buellas,230,1310,0.089574175,0.806536006,1288,10.25
1066,La Burbanche,340,1510,0.097079088,0.800175312,56,11.09
1067,Ceignes,630,1430,0.095964014,0.804960413,230,10.22
1068,Cerdon,320,1450,0.095377394,0.804305875,672,12.01
1069,Certines,250,1240,0.091881879,0.805183386,1288,16.01
1071,Cessy,540,1170,0.105970584,0.808392895,2283,6.45
